	Total_Mass(ug)	ShootsMass%	RootsMass%	SoilMass%	RhizosphereMass%	Shoots_Concentration(ug/kg)	Roots_Concentration(ug/kg)	Soil_Concentration(ug/kg)	Rhizosphere_Concentration(ug/kg)	Total_Mass	Recovery%	RCFrhizo	RCFbulk	TF	Harvest_date	name
A7	3.6507560738624725		0.5294849149933533	19.983462055126136	1.323570675953121		48.51230086519512	0.6079900124843945	3.4885251054671667	3.848110831191049	21.83651764607261	13.90624960364119	79.79127924645029		Day27	Ciprofloxacin
A8	4.254989063820956		0.5457137160048474	22.728517461008487	1.0033702815913847		58.59224393124534	0.8075619761013018	4.338119157419176	4.509460130722543	24.277601458604718	13.506370342787656	72.55448580443743		Day27	Ciprofloxacin
A9	3.6303830906575505	9.300512309813602e-05	0.48947604981198795	25.17871720911342	0.9086299714585865	0.11772800392169103	56.66743068245183	0.7558409131442841	5.863829941814668	3.8204631528737796	26.576916235507092	9.663893947257801	74.97269557255954	0.0020775249998787717	Day27	Ciprofloxacin
A13	3.9465543693250114	0.0012885330029229335	0.6876267005559179	25.681154573965905	0.5908343342217282	2.112349185119565	54.86924988423683	0.9473871945782056	4.08457538275287	4.707911633670951	26.960904141746475	13.433281245321698	57.91639384429894	0.03849786883502509	Day31	Ciprofloxacin
A14	3.7287607896258237	0.004344404590620161	0.9014076494012171	24.80977938526642	1.1310299298509272	4.573057463810699	84.5265698097263	0.8749777064383806	10.305294134872687	4.501043843550711	26.846561369109185	8.20224718513292	96.60425538588164	0.05410201164089456	Day31	Ciprofloxacin
A15	3.801774882803914	0.000533616652529654	0.3319895376897983	9.362407568769031	0.8769044991941972	1.2409689593712891	47.62587371114547	0.3477795612627073	8.187981209589143	4.734046269663805	10.571835222305555	5.816558745319257	136.9427045632783	0.02605661298515718	Day31	Ciprofloxacin
A10	3.8996722993334845	0.0002643862173316832	1.6939197861009863	9.131397357355498	1.5325700000335676	0.19878662957269413	130.34219042903499	0.3686463349384697	12.364781286986718	4.759370673215143	12.358151529707383	10.54140687196896	353.56974442941424	0.0015251134641697144	Day35	Ciprofloxacin
A11	4.055754529967954	0.010135763548129048	1.7635922558781727	20.501884060695794	1.138602983274018	6.848488883870977	110.73948707948	0.9083288746210092	11.80654016908108	5.14351354656683	23.414215063396114	9.379503689784086	121.91563009123199	0.06184324186869022	Day35	Ciprofloxacin
A12	3.470965546262722	0.001649813227416733	1.0278927808369238	14.240391214718052	1.0804253532693266	1.9183874737403845	74.42130025356037	0.5345104333868379	7.6942380694494945	4.357182854704106	16.350359162051717	9.672341768193435	139.23264281672107	0.025777397965424654	Day35	Ciprofloxacin
A4	26.539764914527975									26.539764914527975	0.0				Day25	Cephalexin
A5	25.35422881049458									25.35422881049458	0.0				Day25	Cephalexin
A6	27.24292821262889									27.24292821262889	0.0				Day25	Cephalexin
A7	26.433971258382154									27.46912927951969	0.0				Day27	Cephalexin
A8	31.187382677180764									32.522125095434404	0.0				Day27	Cephalexin
A9	26.27071216363183									27.26771321759609	0.0				Day27	Cephalexin
A13	28.38897292371098									30.699134283216367	0.0				Day31	Cephalexin
A14	27.885465173298698									30.180416554449646	0.0				Day31	Cephalexin
A15	28.103892057227515									30.83007322930365	0.0				Day31	Cephalexin
A10	28.178512203467374									30.767373059476142	0.0				Day35	Cephalexin
A11	29.57267970859518			4.002417556728687				1.1165429416379984		32.75944733046989	4.002417556728687				Day35	Cephalexin
A12	25.17467866395809									27.742689687701766	0.0				Day35	Cephalexin
A4	23.764364597506695	0.004215590140715226	0.14510328939365127	2.134788708212187		8.431180281430452	60.709286504370645	0.399441741011084		23.764364597506695	2.2841075877465533		151.98533420843978	0.13887793395205633	Day25	Tetracycline
A5	22.74345811258235	0.0037902317876169467	0.14012479240239825	1.5438934125886845		4.922378944957076	44.94953944341664	0.27738172479048384		22.74345811258235	1.6878084367786996		162.04939051903511	0.10950899621904832	Day25	Tetracycline
A6	24.633996322512402		0.05294060409628565	1.4914020773459162			31.808259673645985	0.28954717491213827		24.633996322512402	1.5443426814422019		109.85518917011727		Day25	Tetracycline
A7	23.669688051093587		0.0314249571344426	0.10376587923601828			18.573987607552933	0.020366315220329834		24.824456440139556	0.13519083637046087		911.9954889538494		Day27	Tetracycline
A8	27.651285223375794		0.0423182972830122	0.2956986702634635	0.006925615791625819		29.36109398095126	0.06789267369559335	0.19349396530701177	29.14025436687363	0.3449425833381015	151.74165217176042	432.46336287470405		Day27	Tetracycline
A9	23.70228703449522		0.010934810165271905	0.1335714512791898	0.021669393289996085		8.222476727454264	0.026043525277101916	0.9083022503667992	24.814489497746447	0.16617565473445778	9.052577734045892	315.7205731546512		Day27	Tetracycline
A13	25.55429377255485	0.005558824104571213	0.050534412730693014	0.40750643128577146	0.04275598773992486	9.112826400936424	24.280778002917028	0.09052041092187083	1.7798246560884632	28.34832393930267	0.5063556558609605	13.64223038480606	268.23539305266786	0.3753103133615254	Day31	Tetracycline
A14	24.915191077532455		0.04524433252222445	1.3975146977549002	0.0929084546647158		26.111257941052674	0.30333468505001354	5.209944950167307	27.70159954409487	1.5356674849418406	5.011810717925948	86.08068654182252		Day31	Tetracycline
A15	25.273704823327467		0.021854205339557373	1.614041506977996	0.012631842460837536		18.93616813007175	0.3621343606380101	0.7124095995394524	28.593743793615523	1.648527554778391	26.58045054742849	52.29044848632954		Day31	Tetracycline
A10	25.22745305139401		0.06998065588281599	0.3095210495931816	0.05408587381879361		32.175334527550184	0.07466477426331443	2.607371160603989	28.36294435871767	0.4335875792947912	12.340143595090188	430.93058065212847		Day35	Tetracycline
A11	26.37046744895514		0.09639673718012895	1.0119040813335456	0.03871916126699137		35.75309077026988	0.26481075966477424	2.371500417771061	30.250059955472334	1.1470199797806657	15.076147784900536	135.01373892635618		Day35	Tetracycline
A12	22.696810464994044	0.004127534871506918	0.05430485283165106	1.4728675280512935	0.04097308892061461	4.799459152915015	23.390009690776143	0.32888213030548785	1.7358487548823247	25.829655962009717	1.5722730046750661	13.474681837912646	71.11973420097324	0.2051926962137037	Day35	Tetracycline
